date,customer_name,amount,bank_name,receipt_no,invoice_no,bill_date,bill_amount,payment_mode,team_id
"2025-04-02","AROMA GIFT GALLERY - KARANPUR",3052.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","VARDAAN ENTERPRISES - DEVKI COMPLEX",4519.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","GOEL TRADERS - KEDARPURAM",5873.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","GROVER GENERAL STORE & BARTAN STORE",1979.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","HIMALAYAN KITCHEN STORE - KARGI",3822.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","KIRAN MEGA MARKET - PREMNAGAR",2921.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","HP PHARMA - KAULAGARH ROAD",2242.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","ANAND THE SUPER VALUE STORE",2919.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","AMBROSE FARMS PVT. LTD. - RAJENDER",11064.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","GOYAL STORE - CLEMENT TOWN",20620.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","MAKIN'S - PREMNAGAR",6020.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","MAIGNET SUPER STORE - HARIDWAR ROAD",10569.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","MAIGNET SUPER STORE - HARIDWAR ROAD",10569.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","DAILY NEEDS - PREMNAGAR",7126.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","M/S GOLOKA - RISPINA PULL",4158.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","ANKIT GEN STORE - DHARAMPUR",3819.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","ARADHYA NATURAL FOOD PRODUCTS",22500.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","FIRST PHARMACY - ST JUDES CHOWK",1796.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","PERFECT VALUE - SHIMLA BYPASS",7149.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","KUMAR SONS - EC ROAD",1663.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","SHRI KRISHNA TRADERS - DARSHANI GAT",5283.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","AVTAR STORES - JAKHAN",2685.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","SHIVA MEDICAL - DILARAM BAZAR",964.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-04","JAGANATH RULDURAM",46421.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-02","FAM CARE MEDICOS & SURGICALS",2010.0,"","","","",,"Cash",JA
"2025-04-02","GANPATI STORE - MOTI BAZAR",1330.0,"","","","",,"Cash",JA
"2025-04-02","BALAJI COSMETIC - SAHARANPUR CHOWK",900.0,"","","","",,"Cash",JA
"2025-04-02","DIVYA COSMETICS - HANUMAN CHOWK",1000.0,"","","","",,"Cash",JA
"2025-04-02","GERA MEDICAL STORE - CHAKRATA ROAD",338.0,"","","","",,"Cash",JA
"2025-04-02","MUSKAN COSMETIC - JHANDA BAZAR",830.0,"","","","",,"Cash",JA
"2025-04-02","NEW VR ENTERPRISES - TILAK ROAD",1000.0,"","","","",,"Cash",JA
"2025-04-02","VASHU TRADERS - HANUMAN CHOWK",816.0,"","","","",,"Cash",JA
"2025-04-02","BASMENT STORE - KANDOLI",199.0,"","","","",,"Cash",JA
"2025-04-02","BHAWANI MEDICOS - CANAL ROAD",500.0,"","","","",,"Cash",JA
"2025-04-02","DISCOUNT MEDICAL - CANAL ROAD",691.0,"","","","",,"Cash",JA
"2025-04-02","FAMILY STORE - CANAL ROAD",500.0,"","","","",,"Cash",JA
"2025-04-02","MAA BALA SUNDRI MEDICAL - CANAL ROA",600.0,"","","","",,"Cash",JA
"2025-04-02","PANWAR TRADERS - CANAL ROAD",551.0,"","","","",,"Cash",JA
"2025-04-02","ROZAANA - IT PARK",1000.0,"","","","",,"Cash",JA
"2025-04-02","RAJ GOPAL COSMETICS - GMS ROAD",300.0,"","","","",,"Cash",JA
"2025-04-02","ASHOK GEN STORE - NESHVILLA ROAD",300.0,"","","","",,"Cash",JA
"2025-04-02","CLASSIC ELECTRICALS - NESHVILLA ROA",600.0,"","","","",,"Cash",JA
"2025-04-02","MAHANIDHI LIFE LINE PHARMACY",500.0,"","","","",,"Cash",JA
"2025-04-02","MAHAWAR BOOK DEPOT - NEW CANTT RD",648.0,"","","","",,"Cash",JA
"2025-04-02","NARULA ENTERPRISES - NESHVILLA ROAD",508.0,"","","","",,"Cash",JA
"2025-04-02","RAWAT MEDICAL STORE - NESHVILLA ROA",338.0,"","","","",,"Cash",JA
"2025-04-02","HARSH ELECTRICALS - PREMNAGAR",435.0,"","","","",,"Cash",JA
"2025-04-02","HIMALAYAN MEDICAL - PREM NAGAR",479.0,"","","","",,"Cash",JA
"2025-04-02","KHALSA COSMETIC - PREMNAGAR",500.0,"","","","",,"Cash",JA
"2025-04-02","KISHOR MEDICOS - PREMNAGAR",1500.0,"","","","",,"Cash",JA
"2025-04-02","MADHU MEDICAL - PREMNAGAR",500.0,"","","","",,"Cash",JA
"2025-04-02","MINI STORE - PREM NAGAR",500.0,"","","","",,"Cash",JA
"2025-04-02","O2 ZONE - PREMNAGAR",1500.0,"","","","",,"Cash",JA
"2025-04-02","PANKAJ MEDICAL - PREMNAGAR",280.0,"","","","",,"Cash",JA
"2025-04-02","PATANJALI STORE - PREMNAGAR",500.0,"","","","",,"Cash",JA
"2025-04-02","PREAM GEN STORE - PREMNAGAR",1000.0,"","","","",,"Cash",JA
"2025-04-02","ROYAL CHEMIST - PREMNAGAR",500.0,"","","","",,"Cash",JA
"2025-04-02","SHIKHA COSMETIC - PREM NAGAR",1000.0,"","","","",,"Cash",JA
"2025-04-02","SHIVA MEDICAL - PREMNAGAR",500.0,"","","","",,"Cash",JA
"2025-04-02","SIDDHANTH MEDICAL CENTER - THAKURPU",700.0,"","","","",,"Cash",JA
"2025-04-02","SONI MEDICAL - PREM NAGAR",685.0,"","","","",,"Cash",JA
"2025-04-02","UPPAL MEDICAL - PREMNAGAR",1000.0,"","","","",,"Cash",JA
"2025-04-02","CHAWLA STORE - SD CROSSING",524.0,"","","","",,"Cash",JA
"2025-04-02","JAI BADRI MEDICAL - RAIPUR ROAD",336.0,"","","","",,"Cash",JA
"2025-04-02","OLD JOLLY GEN STORE - SD ROAD",209.0,"","","","",,"Cash",JA
"2025-04-02","KARANWAL MEDICOS - SD ROAD",500.0,"","","","",,"Cash",JA
"2025-04-02","NAINA STATIONARY - IT PARK",500.0,"","","","",,"Cash",JA
"2025-04-02","NEGI MEDICOS - MANDAKANI VIHAR",649.0,"","","","",,"Cash",JA
"2025-04-02","RAMANIYA BAKER'S - SD ROAD",2062.0,"","","","",,"Cash",JA
"2025-04-02","SHREE RAM CHEMIST - SD ROAD",428.0,"","","","",,"Cash",JA
"2025-04-02","ANUPAM STORE - DL ROAD",545.0,"","","","",,"Cash",JA
"2025-04-02","AVTAR STORE - KARANPUR",700.0,"","","","",,"Cash",JA
"2025-04-02","BALAJI MEDICOS - KARANPUR",108.0,"","","","",,"Cash",JA
"2025-04-02","NEW BHARAT MEDICAL STORE - KARANPUR",371.0,"","","","",,"Cash",JA
"2025-04-02","VISHAL SANCHAYAN - KARANPUR",500.0,"","","","",,"Cash",JA
"2025-04-02","AMBIKA STORE - RAJPUR",200.0,"","","","",,"Cash",JA
"2025-04-02","CHAUDHARY MEDICOS - RAJPUR ROAD",1240.0,"","","","",,"Cash",JA
"2025-04-02","DEEP STORE - RAJPUR ROAD",300.0,"","","","",,"Cash",JA
"2025-04-02","GANPATI MEDICAL - KISHANPUR",2130.0,"","","","",,"Cash",JA
"2025-04-02","HEALING TOUCH CHEMIST - RAJPUR",400.0,"","","","",,"Cash",JA
"2025-04-02","MEHAK GEN STORE - JHAKHAN",501.0,"","","","",,"Cash",JA
"2025-04-02","PAWAN KUMAR & BROTHERS - RAJPUR",2376.0,"","","","",,"Cash",JA
"2025-04-02","PUNDIR MEDICAL - JHAKHAN",1484.0,"","","","",,"Cash",JA
"2025-04-01","DAILY ESSENTIAL - KALIDAS ROAD",2031.0,"IDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-01","THE MADDOX COMPANY - KANWALI ROAD",12999.0,"IDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-01","MAHAWAR ZARI CENTER - PALTAN BAZAAR",7199.0,"IDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-01","FORYOU COSMETICS - MACCHI BAZAR",2203.0,"IDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-04","SK JEWELLERY - KOTWALI BAZAAR",1050.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-04","MANOHAR'S - PALTAN BAZAR",4801.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-04","DEHRA GEN STORE - PALTAN BAZAR",2334.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-04","VARIETY PALACE - NEW CANT ROAD",891.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-05","WADHWA MOTORS AND DECORATER - KISHA",2590.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-04","MAKIN'S - PREMNAGAR",3300.0,"HDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-03","AKSHAY ELECTRICALS - GOVIND GARH",300.0,"","","","",,"Cash",JA
"2025-04-03","SURBHI ENTERPRISES",942.0,"","","","",,"Cash",JA
"2025-04-02","ASHOK ANIL ENTERPRISES (LLP)",139465.0,"IDFC BANK CURRENT A/C","","","",,"Bank Transfer",JA
"2025-04-03","BHANDARI PHARMACY - RAIPUR",1082.0,"","","","",,"Cash",JA
"2025-04-03","C B MEDICAL - RAIPUR ROAD",100.0,"","","","",,"Cash",JA
"2025-04-03","OLD DEV BHUM KIRANA STORE - RAIPUR",500.0,"","","","",,"Cash",JA
"2025-04-03","HRJ ENTERPRISES - RAIPUR",534.0,"","","","",,"Cash",JA
"2025-04-03","JAGDAMBA MEDICAL - RAIPUR",200.0,"","","","",,"Cash",JA
"2025-04-03","JAI NARAYAN MEDICAL - RAIPUR CHOWK",300.0,"","","","",,"Cash",JA
"2025-04-03","JOSHI MEDICAL - RAIPUR",200.0,"","","","",,"Cash",JA
"2025-04-03","KOMAL COSMETICS - RAIPUR",500.0,"","","","",,"Cash",JA
"2025-04-03","LAKSHMI COSMETICS - RAIPUR ROAD",500.0,"","","","",,"Cash",JA
"2025-04-03","NEW HEALTHCARE PHARMACY - NATTANWAL",1005.0,"","","","",,"Cash",JA
"2025-04-03","RAMOLA DEPARTMENTAL STORE - RAIPUR",1031.0,"","","","",,"Cash",JA
"2025-04-03","RIDDHI SIDDHI MART - RAIPUR",440.0,"","","","",,"Cash",JA
"2025-04-03","SANJIVANI MEDICOS - RAIPUR",400.0,"","","","",,"Cash",JA
"2025-04-03","SANTOSH COSMETIC - RAIPUR",248.0,"","","","",,"Cash",JA
"2025-04-03","SANTOSH COSMETIC - RAIPUR",52.0,"","","","",,"Cash",JA
"2025-04-03","SHIVALIYE MEDICAL STORE - RAIPUR",239.0,"","","","",,"Cash",JA
"2025-04-03","SUNIL COSMETICS - RAIPUR",500.0,"","","","",,"Cash",JA
"2025-04-03","ZAIN MEDICAL STORE - TAPOVAN RD",300.0,"","","","",,"Cash",JA
"2025-04-05","ANKIT GEN STORE - DHARAMPUR",294.0,"","","","",,"Cash",JA
"2025-04-05","ANKIT GEN STORE - DHARAMPUR",1206.0,"","","","",,"Cash",JA
"2025-04-05","ASHWAL ELECTRICALS - ARAGHAR",500.0,"","","","",,"Cash",JA
"2025-04-05","BALRAJ STORE - RACE COURSE",244.0,"","","","",,"Cash",JA
"2025-04-05","DOON MOBILE REPAIRING - DHARAMPUR",200.0,"","","","",,"Cash",JA
"2025-04-05","HARI PROV STORE - MOHINI ROAD",1260.0,"","","","",,"Cash",JA
"2025-04-05","KAVYA GENERAL STORE - DHARAMPUR",500.0,"","","","",,"Cash",JA
"2025-04-05","NARULA WATCH CO. - DHARAMPUR",505.0,"","","","",,"Cash",JA
"2025-04-05","NAWANI GENERAL STORE - DHARAMPUR",655.0,"","","","",,"Cash",JA
"2025-04-05","NEW STORE - DHARAMPUR",500.0,"","","","",,"Cash",JA
"2025-04-05","PURNIMA COLLECTION - DHARAMPUR",500.0,"","","","",,"Cash",JA
"2025-04-05","RAJ KUMAR STORE - RACE COURSE",1441.0,"","","","",,"Cash",JA
"2025-04-05","RK STORE - RACE COURSE",143.0,"","","","",,"Cash",JA
"2025-04-05","BALAJI MEDICAL STORE - MATA MANDIR",500.0,"","","","",,"Cash",JA
"2025-04-05","GRACE BEAUTY COLLECTION - RACE COUR",500.0,"","","","",,"Cash",JA
"2025-04-05","NEEDS THE STORE - DHARAMPUR",376.0,"","","","",,"Cash",JA
"2025-04-05","OM MATA MEDICAL - MATAWALI ROAD",230.0,"","","","",,"Cash",JA
"2025-04-05","RAWAT MEDICAL - AJABPUR",500.0,"","","","",,"Cash",JA
"2025-04-05","BUY FRESH - CHANDERBANI GST",1266.0,"","","","",,"Cash",JA
"2025-04-05","DEEPAK GEN STORE - CHANDARBANI",677.0,"","","","",,"Cash",JA
"2025-04-05","DEOLI MEDICOS - BANSAL HOME",500.0,"","","","",,"Cash",JA
"2025-04-05","HARI OM TRADERS - CHANDARBANI",2158.0,"","","","",,"Cash",JA
"2025-04-05","HEALTH CARE PHARMACY - SEWLA KALA",140.0,"","","","",,"Cash",JA
"2025-04-05","KARTIK MEDICAL - SEWLA KALA",882.0,"","","","",,"Cash",JA
