name,address,phone,type,delivery_route,team_id
"VAT 0%","","","General Trade","Unassigned",JA
"VAT 1%","","","General Trade","Unassigned",JA
"VAT 4%","","","General Trade","Unassigned",JA
"VAT 12.5%","","","General Trade","Unassigned",JA
"U.P. TRADE TAX A/C","","","General Trade","Unassigned",JA
"CENTRAL SALES TAX A/C","","","General Trade","Unassigned",JA
"BANK A/C","","","General Trade","Unassigned",JA
"ALL","","","General Trade","Unassigned",JA
"OPENING STOCK A/C","5434986.54 OPENING FOR 25-26","","General Trade","Unassigned",JA
"SAT A/C","","","General Trade","Unassigned",JA
"SGST A/C","","","General Trade","Unassigned",JA
"CGST A/C","","","General Trade","Unassigned",JA
"IGST A/C","","","General Trade","Unassigned",JA
"VAT A/C","","","General Trade","Unassigned",JA
"CST A/C","","","General Trade","Unassigned",JA
"CESS A/C","","","General Trade","Unassigned",JA
"ADDITIONAL CESS A/C","","","General Trade","Unassigned",JA
"SGST (REVERSE CHARGE) A/C","","","General Trade","Unassigned",JA
"CGST (REVERSE CHARGE) A/C","","","General Trade","Unassigned",JA
"IGST (REVERSE CHARGE) A/C","","","General Trade","Unassigned",JA
"T.C.S. PAYABLE A/C","","","General Trade","Unassigned",JA
"T.C.S. RECEIVABLE A/C","","","General Trade","Unassigned",JA
"BLITZ BRAND AGENCY","""11, MM ROAD MOTIA KHAN"", JHANDEWALAN","07","General Trade","Unassigned",JA
"MAHAWAR VASTU BHANDAR - HANUMAN","HANUMAN CHOWK","","General Trade","NPA",JA
".BLITZ BRAND AGENCY","JHANDEWALAN, NEW DELHI","","General Trade","OTHER",JA
"CHAUDHARY GIFT POINT - JASPUR","KOTWALI ROAD MAIN MARKET, JASPUR (U.S. NAGAR)","","General Trade","OTHER",JA
"LAKSITA SUPERMARKET - DEHRADUN","""SALONIWALA, GUNIYAL GAON""","05","General Trade","Unassigned",JA
"MAKIN'S - PREMNAGAR","PREMNAGR, 9719405272","9719405272","General Trade","PREM NAGAR",JA
"MINI STORE - PREM NAGAR","PREMNAGAR","7055600264","General Trade","PREM NAGAR",JA
"PAWAN LAFZ","LAFZ","","General Trade","OTHER",JA
"SUMIT BHAIYA","DEHRADUN","","General Trade","DHARAMPUR 2ND",JA
"PRERNA STORE - SD ROAD","SD ROAD, 9719161150","9719161150","General Trade","SD ROAD",JA
