name,address,phone,type,delivery_route,beat_name,team_id
"ALL","","","General Trade","Unassigned","Unassigned",JA
"MAHAWAR VASTU BHANDAR","HANUMAN, HANUMAN CHOWK","","General Trade","NPA","NPA",JA
".BLITZ BRAND AGENCY","JHANDEWALAN","","General Trade","OTHER","OTHER",JA
"CHAUDHARY GIFT POINT","JASPUR, KOTWALI ROAD MAIN MARKET","","General Trade","OTHER","OTHER",JA
"MAKIN'S","PREMNAGAR, PREMNAGR","+919719405272","General Trade","PREM NAGAR","PREM NAGAR",JA
"MINI STORE","PREM NAGAR, PREMNAGAR","+917055600264","General Trade","PREM NAGAR","PREM NAGAR",JA
"PAWAN LAFZ","LAFZ","","General Trade","OTHER","OTHER",JA
"SUMIT BHAIYA","DEHRADUN","","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"PRERNA STORE","SD ROAD, SD ROAD","+919719161150","General Trade","SD ROAD","SD ROAD",JA
"START UP ENTERPRISES","DHARAMPUR, DHARAMPUR","","General Trade","OTHER","OTHER",JA
"VEGA SUPER STORE","KARGI, MOTHROWALA ROAD","","General Trade","KARGI","KARGI",JA
"SARASWATI VARIETY PALACE","KISHAN NAGAR CHOWK","","General Trade","SHOP CLOSED","SHOP CLOSED",JA
"JAGANATH RULDURAM","PANDIT VADI","","General Trade","PANDITVARI","PANDITVARI",JA
"PRAPTI MEDICOS","TURNER ROAD, TURNER ROAD","+917017271259","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"A.S. ASSOCIATES","RISPINA PULL, RISPINA PULL, DEHRADUN","","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"BHATIYA HOMEO HALL","PREMNAGAR, PREMNAGAR","+919990043262","General Trade","PREM NAGAR","PREM NAGAR",JA
"MADHU MEDICAL","PREMNAGAR, PREMNAGAR","+917417141979","General Trade","PREM NAGAR","PREM NAGAR",JA
"PRIME LIFE PHARMACY","JHAKHAN, JHAKHAN","","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"ANN JAL","RAJPUR ROAD, MUSSORIEE DIVERSION","","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"ROSHAN TRADERS","GMS ROAD, QUALITY STORE - GMS","983718877","General Trade","PATEL NAGAR","PATEL NAGAR",JA
"JAI MAA BHAWE","TURNER RD, OPP. WELLMED HOSPITAL","","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"GRACIOUS GROCERY","DALANWALA, BALBIR ROAD","","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"CHAUHAN DEPT. STORE","DHARAMPUR, DHARAMPUR","+919927877034","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"CASH SALE A/C","","+917056757050","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"GOYAL STORE","CLEMENT TOWN, SHUBHASH NAGAR","+919997911209","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"NEGI STORE","SD ROAD, SD ROAD","","General Trade","SD ROAD","SD ROAD",JA
"SACHDEVA COSMETIC","PREMNAGAR, PREMNAGAR","","General Trade","PREM NAGAR","PREM NAGAR",JA
"DAKSH COSMETICS","PREMNAGAR, PREMNAGAR","","General Trade","PREM NAGAR","PREM NAGAR",JA
"A TO Z STATIONARY","JHAKHAN, DOON VIHAR","+918014956956","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"SAMPLE","","","General Trade","OTHER","OTHER",JA
"GRAH SANGRAH STORE","FUWARA CHOWK, NEHRU COLONY","","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"PRINCE GIFT GALLERY","DHARAMPUR, DHARAMPUR","","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"RACHNA MEDICAL","KARGI, KARGI","+919634275199","General Trade","KARGI","KARGI",JA
"S H ENTERPRISES","KARGI, HARIDWAR BYPASS","","General Trade","KARGI","KARGI",JA
"URVASHI COLLECTION","HATTHIBRAKLA, HATTHIBRAKALA","","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"AKSHAJ COSMETIC","TAPOVAN ROAD, TAPOVAN ROAD","+919639639943","General Trade","RAIPUR","RAIPUR",JA
"R&R SUPER MARKET","RAIPUR, RAIPUR","+918191836010","General Trade","RAIPUR","RAIPUR",JA
