name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,step_size,team_id
"LIP COLOR 1 POWER RED","LIP COLOR 1 POWER RED","LIP COLOR 1 POWER RED","C1","LAFZ","LAFZ",458.33,"NO. 1",available,24,18,pcs,1,JA
"LIP COLOR 2 R.MAROON","LIP COLOR 2 R.MAROON","LIP COLOR 2 R.MAROON","C2","LAFZ","LAFZ",458.33,"NO. 2",available,19,18,pcs,1,JA
"LIP COLOR 3 CORAL","LIP COLOR 3 CORAL","LIP COLOR 3 CORAL","C3","LAFZ","LAFZ",458.33,"NO. 3",available,33,18,pcs,1,JA
"LIP COLOR 4 WOOED NUDE","LIP COLOR 4 WOOED NUDE","LIP COLOR 4 WOOED NUDE","C4","LAFZ","LAFZ",458.33,"NO. 4",available,13,18,pcs,1,JA
"LIP COLOR 5 T.BERRY","LIP COLOR 5 T.BERRY","LIP COLOR 5 T.BERRY","C5","LAFZ","LAFZ",458.33,"NO. 5",available,31,18,pcs,1,JA
"LIP COLOR 6 MYSTIC MAU","LIP COLOR 6 MYSTIC MAU","LIP COLOR 6 MYSTIC MAU","C6","LAFZ","LAFZ",458.33,"NO. 6",available,38,18,pcs,1,JA
"LIP COLOR 7 PINK SHADE","LIP COLOR 7 PINK SHADE","LIP COLOR 7 PINK SHADE","C7","LAFZ","LAFZ",458.33,"NO. 7",available,33,18,pcs,1,JA
"LIP COLOR 8 FUSCHIA","LIP COLOR 8 FUSCHIA","LIP COLOR 8 FUSCHIA","C8","LAFZ","LAFZ",458.33,"NO. 8",available,15,18,pcs,1,JA
"LIPSTICK 1 RED","LIPSTICK 1 RED","LIPSTICK 1 RED","S1","LAFZ","LAFZ",423.02,"NO. 1",available,20,18,pcs,1,JA
"LIPSTICK 2 BURGUNDY","LIPSTICK 2 BURGUNDY","LIPSTICK 2 BURGUNDY","S2","LAFZ","LAFZ",423.02,"NO. 2",available,25,18,pcs,1,JA
