beat_name,beat_code,area,route,team_id
"CHAKRATA ROAD","CHA","CHAKRATA ROAD","CHAKRATA ROAD",MA
"CLEMENT TOWN","CLE","CLEMENT TOWN","CLEMENT TOWN",MA
"CLEMENT TOWN II","CLE","CLEMENT TOWN II","CLEMENT TOWN II",MA
"DEHRA KHAS","DEH","DEHRA KHAS","DEHRA KHAS",MA
"DHARAMPUR 2nd","DHA","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"F N E","F N","F N E","F N E",MA
"FUWARA CHOWK","FUW","FUWARA CHOWK","FUWARA CHOWK",MA
"HANUMAN CHOWK","HAN","HANUMAN CHOWK","HANUMAN CHOWK",MA
"ITBP-GOVIND GARH","ITB","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"KARANPUR","KAR","KARANPUR","KARANPUR",MA
"KARGI","KAR","KARGI","KARGI",MA
"KAULAGARH","KAU","KAULAGARH","KAULAGARH",MA
"MOHKAMPUR","MOH","MOHKAMPUR","MOHKAMPUR",MA
"NESHVILLA ROAD","NES","NESHVILLA ROAD","NESHVILLA ROAD",MA
"PALTAN BAZAR","PAL","PALTAN BAZAR","PALTAN BAZAR",MA
"PANDITVARI","PAN","PANDITVARI","PANDITVARI",MA
"PREM NAGAR","PRE","PREM NAGAR","PREM NAGAR",MA
"RACE COURSE","RAC","RACE COURSE","RACE COURSE",MA
"RAIPUR","RAI","RAIPUR","RAIPUR",MA
"RAJPUR LOWER","RAJ","RAJPUR LOWER","RAJPUR LOWER",MA
"RAJPUR UPPER","RAJ","RAJPUR UPPER","RAJPUR UPPER",MA
"SD ROAD","SD ","SD ROAD","SD ROAD",MA
"SUVIDHA","SUV","SUVIDHA","SUVIDHA",MA
"ZNPA","ZNP","ZNPA","ZNPA",MA
"ZOTHER","ZOT","ZOTHER","ZOTHER",MA
"ZOUTER","ZOU","ZOUTER","ZOUTER",MA
"ZRING ROAD","ZRI","ZRING ROAD","ZRING ROAD",MA
"ZSHOP CLOSED","ZSH","ZSHOP CLOSED","ZSHOP CLOSED",MA
