date,customer_name,amount,bank_name,receipt_no,invoice_no,bill_date,bill_amount,payment_mode,team_id
"2025-04-02","PANT DEPT STORE - KARGI ROAD",6756.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","VAIBHAV CHEMIST - PRINCE CHOWK",484.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-04","HARI PROV STORE - MOHINI ROAD",8340.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","GULATI CHEMIST - DHARAMPUR",5389.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","KUMAR SONS - EC ROAD",5958.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","ANKIT GEN STORE - DHARAMPUR",3921.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","SWATANTRA FANCY - PALTAN BAZAR",2180.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-03","SINGH MEDICAL - AJABPURKALA",2173.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-03","SHREE GANESH MEDICAL - TURNER ROAD",2495.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-03","MAMTA MEDICOS - NIRANJPUR MANDI",5372.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-03","DAYASHANKAR - GAURAKHPUR CHOWK",3487.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-03","RESHAM PHARMACY - CHAKRATA ROAD",6608.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","BEAUTY PALACE - ANURAG CHOWK",1645.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","MAHENDRA HEALTHCARE - IT PARK ROAD",2016.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","AVTAR STORES - JAKHAN",3622.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","VISHAL GENERAL STORE - HATHIBARKALA",21617.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","VISHAL GENERAL STORE - HATHIBARKALA",23000.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","SAI PROVISION STORE - SD ROAD",3706.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","FASHION CENTER - PALTAN BAZAR",1820.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","FAYDA BAZAR - RING ROAD",8782.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","GOYAL STORE - CLEMENT TOWN",48656.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-02","SATYARAJ MEDICOSE - SD CROSSING",1025.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-02","ASHOK ANIL ENTERPRISES (LLP)",273062.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-02","AARTI BAKERS - SD ROAD",500.0,"","","","",,"Cash",MA
"2025-04-02","KHUSHI PROV STORE - SD ROAD",500.0,"","","","",,"Cash",MA
"2025-04-02","KRISHNA MEDICOSE - SD ROAD",100.0,"","","","",,"Cash",MA
"2025-04-02","KWALITY STORE - MANDAKINI VIHAR",500.0,"","","","",,"Cash",MA
"2025-04-02","NEGI MEDICOS - MANDAKANI VIHAR",500.0,"","","","",,"Cash",MA
"2025-04-02","NEGI STORE - SD ROAD",500.0,"","","","",,"Cash",MA
"2025-04-02","OM PHARMACY - RAIPUR ROAD",69.0,"","","","",,"Cash",MA
"2025-04-02","PUNDIR MEDICAL - NALAPANI CHOWK",141.0,"","","","",,"Cash",MA
"2025-04-02","RAITHWAN MEDICAL - IT PARK",1000.0,"","","","",,"Cash",MA
"2025-04-02","SANCHI MEDICAL - NALAPANI ROAD",490.0,"","","","",,"Cash",MA
"2025-04-02","SHREE RAM CHEMIST - SD ROAD",313.0,"","","","",,"Cash",MA
"2025-04-02","SIDDHBALI MEDICOSE - SD ROAD",500.0,"","","","",,"Cash",MA
"2025-04-02","DEEPAK MEHNDI - PALTAN BAZAR",1500.0,"","","","",,"Cash",MA
"2025-04-02","GOOD LOOKS - PALTAN BAZAR",119.0,"","","","",,"Cash",MA
"2025-04-02","OLD DOON BASKET - NEHRUGRAM",2000.0,"","","","",,"Cash",MA
"2025-04-02","GARHWAL MEDICAL - RING ROAD",500.0,"","","","",,"Cash",MA
"2025-04-02","JAGDAMBA MEDICOS - DANDA DHARAMPUR",500.0,"","","","",,"Cash",MA
"2025-04-02","KRISHNA MEDICAL STORE - RING ROAD",610.0,"","","","",,"Cash",MA
"2025-04-02","MAHADEV GIFT GALLERY - DOBHAL CHOWK",388.0,"","","","",,"Cash",MA
"2025-04-02","NARESH PRO STORE - KEDDARPURAM",720.0,"","","","",,"Cash",MA
"2025-04-02","VEGA SUPER STORE - RING ROAD",500.0,"","","","",,"Cash",MA
