name,address,phone,type,delivery_route,team_id
"VAT 0%","","","General Trade","Unassigned",MA
"VAT 1%","","","General Trade","Unassigned",MA
"VAT 4%","","","General Trade","Unassigned",MA
"VAT 12.5%","","","General Trade","Unassigned",MA
"U.P. TRADE TAX A/C","","","General Trade","Unassigned",MA
"CENTRAL SALES TAX A/C","","","General Trade","Unassigned",MA
"BANK A/C","","","General Trade","Unassigned",MA
"ALL","","","General Trade","Unassigned",MA
"OPENING STOCK A/C","1324534.41 OPENING FOR 2025-2026","","General Trade","Unassigned",MA
"SAT A/C","","","General Trade","Unassigned",MA
"CASH SALE A/C","OTHER","","General Trade","DHARAMPUR 2nd",MA
"GANPATI STORE - RING ROAD","NEAR JUGRAN BAKERS",""9058227710","General Trade","9634863398"",MA
"ANAND THE SUPER VALUE STORE","RING ROAD","9634130870","General Trade","MOHKAMPUR",MA
"VISHAL GENERAL STORE - HATHIBARKALA","""20, CANTT ROAD, DEHRADUN","","General Trade","Uttarakhand",MA
"PRERNA STORE - SD ROAD","SD ROAD",""9557621940","General Trade","9719161150"",MA
"AARTI BAKERS - SD ROAD","NEAR KALINGA PARK","9456169867","General Trade","SD ROAD",MA
"AGGARWAL MEDICAL HALL - NEW CANTT","HATHIBARKALA",""6395042331","General Trade","9897321039"",MA
"MAHAWAR VASTU BHANDAR","BAND BAZAR","","General Trade","ZSHOP CLOSED",MA
"MAHAWAR BROTHERS - HANUMAN CHOWK","HANUMAN CHOWK","9149362371","General Trade","HANUMAN CHOWK",MA
"R G TRADERS - HANUMAN CHOWK","HANUMAN CHOWK","9997685661","General Trade","HANUMAN CHOWK",MA
"MODERN GEN STORE - KARANPUR","KARANPUR","9837425725","General Trade","KARANPUR",MA
"SANJAY PROV STORE - DL ROAD","TOUCHWOOD SCHOOL DL ROAD","9897144630","General Trade","KARANPUR",MA
"VISHAL SANCHAYAN - KARANPUR","DL ROAD","9897282314","General Trade","KARANPUR",MA
"ANUPAM STORE - DL ROAD","KARANPUR","7417030307","General Trade","KARANPUR",MA
"VINAY PROV STORE - NALAPANI ROAD","NALAPANI ROAD",""7500380860","General Trade","9760380860"",MA
"ASHOK ANIL ENTERPRISES (LLP)","33 KESHAV ROAD LAXMAN CHOWK, DEHRADUN","","General Trade","SUVIDHA",MA
"RAVINDER ASHU - HANUMAN CHOWK","HANUMAN CHOWK","","General Trade","HANUMAN CHOWK",MA
"MAA DURGA CHEMIST - KARGI","KEDARPURAM","7534061956","General Trade","KARGI",MA
"HOME","GHAR","","General Trade","ZOTHER",MA
"GAURAV TRADERS - MOCHI GALI","MOCHI GALI","","General Trade","HANUMAN CHOWK",MA
"DISCOUNT MEDICAL - KANDOLI","NEAR SHIV MANDIR","8938890408","General Trade","RAJPUR LOWER",MA
"SATYA ENTERPRISES","HARIDWAR","","General Trade","Unassigned",MA
"NOVELTY GENERAL MERCHANTS","OPP GPO CLOCK TOWER","","General Trade","PALTAN BAZAR",MA
"KWALITY STORE - MANDAKINI VIHAR","""KANDOLI LINK ROAD, SD ROAD"", NEAR NATIONAL MEDICOSE","05","General Trade","8923327770",MA
"SIDDHBALI MEDICOSE - SD ROAD","SD ROAD","7579420279","General Trade","SD ROAD",MA
"THE WHOLESALE STORE - SD ROAD","NEAR GREEN VIEW APARTMENTS","9719008811","General Trade","SD ROAD",MA
"VAIBHAV - KESHAV ROAD","LAXMAN CHOWK","","General Trade","ZOTHER",MA
"NIVEA INDIA PVT LTD","DEHRADUN","","General Trade","Unassigned",MA
"KUMAR STORE","NESHVILLA ROAD","9837034784","General Trade","NESHVILLA ROAD",MA
"KUMAR STORE SPARKLE","RAJPUR ROAD","7906125870","General Trade","NESHVILLA ROAD",MA
"JAGANNATH RULDU RAM","PANDIT VADI","8077799797","General Trade","PANDITVARI",MA
"BANSI STORE- RAJPUR ROAD","JHAKHAN","9837156255","General Trade","RAJPUR UPPER",MA
