name,address,phone,type,delivery_route,beat_name,team_id
"ALL","","","General Trade","Unassigned","Unassigned",MA
"CASH SALE A/C","OTHER","","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"ANAND THE SUPER VALUE STORE","RING ROAD","+919634130870","General Trade","MOHKAMPUR","MOHKAMPUR",MA
"AARTI BAKERS","SD ROAD, NEAR KALINGA PARK","+919456169867","General Trade","SD ROAD","SD ROAD",MA
"MAHAWAR VASTU BHANDAR","BAND BAZAR","","General Trade","ZSHOP CLOSED","ZSHOP CLOSED",MA
"MAHAWAR BROTHERS","HANUMAN CHOWK, HANUMAN CHOWK","+919149362371","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"R G TRADERS","HANUMAN CHOWK, HANUMAN CHOWK","+919997685661","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"MODERN GEN STORE","KARANPUR, KARANPUR","+919837425725","General Trade","KARANPUR","KARANPUR",MA
"SANJAY PROV STORE","DL ROAD, TOUCHWOOD SCHOOL DL ROAD","+919897144630","General Trade","KARANPUR","KARANPUR",MA
"VISHAL SANCHAYAN","KARANPUR, DL ROAD","+919897282314","General Trade","KARANPUR","KARANPUR",MA
"ANUPAM STORE","DL ROAD, KARANPUR","+917417030307","General Trade","KARANPUR","KARANPUR",MA
"ASHOK ANIL ENTERPRISES (LLP)","33 KESHAV ROAD LAXMAN CHOWK","","General Trade","SUVIDHA","SUVIDHA",MA
"RAVINDER ASHU","HANUMAN CHOWK, HANUMAN CHOWK","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"MAA DURGA CHEMIST","KARGI, KEDARPURAM","+917534061956","General Trade","KARGI","KARGI",MA
"HOME","GHAR","","General Trade","ZOTHER","ZOTHER",MA
"GAURAV TRADERS","MOCHI GALI, MOCHI GALI","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"DISCOUNT MEDICAL","KANDOLI, NEAR SHIV MANDIR","+918938890408","General Trade","RAJPUR LOWER","RAJPUR LOWER",MA
"NOVELTY GENERAL MERCHANTS","OPP GPO CLOCK TOWER","","General Trade","PALTAN BAZAR","PALTAN BAZAR",MA
"SIDDHBALI MEDICOSE","SD ROAD, SD ROAD","+917579420279","General Trade","SD ROAD","SD ROAD",MA
"THE WHOLESALE STORE","SD ROAD, NEAR GREEN VIEW APARTMENTS","+919719008811","General Trade","SD ROAD","SD ROAD",MA
"VAIBHAV","KESHAV ROAD, LAXMAN CHOWK","","General Trade","ZOTHER","ZOTHER",MA
"KUMAR STORE","NESHVILLA ROAD","+919837034784","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",MA
"KUMAR STORE SPARKLE","RAJPUR ROAD","+917906125870","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",MA
"JAGANNATH RULDU RAM","PANDIT VADI","+918077799797","General Trade","PANDITVARI","PANDITVARI",MA
"BANSI STORE- RAJPUR ROAD","JHAKHAN","+919837156255","General Trade","RAJPUR UPPER","RAJPUR UPPER",MA
"MANOHAR LAL GULSHAN KUMAR","DHAMA WALA","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"FRESH N EASY","CROSS ROAD MALL","+919634274290","General Trade","F N E","F N E",MA
"GULATI GEN STORE","PALTAN BAZAR, PALTAN BAZAR","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"HARI PROV STORE","MOHINI ROAD, MOHINI ROAD ARAGHAR CHOWK","+918635080598","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"GRAH SANGRAH STORE","FUWARA CHOWK, NEHRU COLONY","","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"VARIETY PALACE","NEW CANT ROAD, OPP PNB BANK NEW CANT ROAD","+919897914731","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",MA
"NEW AJANTA STORE","KAULAGARH, OPP SBI BANK","+919897031955","General Trade","PANDITVARI","PANDITVARI",MA
"OLD SUPER STORE","KAULAGARH ROAD, NEAR PNB BANK","+919897491520","General Trade","PANDITVARI","PANDITVARI",MA
"MINI STORE","PREM NAGAR, PREM NAGAR","+918218371237","General Trade","PREM NAGAR","PREM NAGAR",MA
"PANKAJ MEDICAL","PREM NAGAR, NEAR PNB BANK","+919897776551","General Trade","PREM NAGAR","PREM NAGAR",MA
"SONI MEDICAL","PREM NAGAR, PREM NAGAR","+919897133471","General Trade","PREM NAGAR","PREM NAGAR",MA
"HANUBHAGA STORE","KARGI, TEA ESTATE 8126157505","+918126157505","General Trade","KARGI","KARGI",MA
"MAHAWAR SONS","PALTAN BAZAR, PALTAN BAZAR 9897681584","","General Trade","PALTAN BAZAR","PALTAN BAZAR",MA
"RAMOLA DEPARTMENTAL STORE","RAIPUR, GUJJROWALA CHOWK","+919760345032","General Trade","RAIPUR","RAIPUR",MA
"SRISHTI SUPER MARKET","NEAR IMA CHAKROTA ROAD","+919897774900","General Trade","PANDITVARI","PANDITVARI",MA
"DEEPAK MEHNDI","PALTAN BAZAR, PALTAN BAZAR","","General Trade","PALTAN BAZAR","PALTAN BAZAR",MA
"MANOHAR'S","PALTAN BAZAR, NEAR GAYLORD BAKERS","","General Trade","PALTAN BAZAR","PALTAN BAZAR",MA
"HR MEDICAL","TAPOVAN ROAD, TAPOVAN ROAD","+919897558751","General Trade","RAIPUR","RAIPUR",MA
"CHAWLA STORE","SD CROSSING, NEAR SATYARAJ MEDICOSE","+919897860431","General Trade","SD ROAD","SD ROAD",MA
"KUMAR SONS","EC ROAD, MUNCIPAL ROAD","+910135265310","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"CHETNA STORE","CANAL ROAD, OPP BALA SUNDRI MANDIR","+919837288679","General Trade","RAJPUR LOWER","RAJPUR LOWER",MA
"AVTAR STORE","KARANPUR, KARANPUR","+919870812237","General Trade","KARANPUR","KARANPUR",MA
"JINDAL PROV","KARANPUR, KARANPUR","+919897909927","General Trade","KARANPUR","KARANPUR",MA
"FAMINA COSMETIC","KARANPUR, KARANPUR","+919997911195","General Trade","KARANPUR","KARANPUR",MA
"SHIVA MEDICAL","DILARAM BAZAR, DILARAM BAZAR","+919897255286","General Trade","RAJPUR LOWER","RAJPUR LOWER",MA
"GOYAL STORE","CLEMENT TOWN, SHUBHASH NAGAR","+919997911209","General Trade","CLEMENT TOWN","CLEMENT TOWN",MA
"SHANTI PLASTIC","NESHVILLA ROAD, NESHVILLA ROAD","+919897210771","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",MA
"PERFECT VALUE","SHIMLA BYPASS, GMS ROAD SHIMLA BYPASS CHOWK","","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",MA
"CITY CHEMIST","NEHRU COLONY, FUWARA CHOWK","","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"DEHRA GEN STORE","PALTAN BAZAR, NEAR KOTWALI","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"SWATANTRA FANCY","PALTAN BAZAR, OPP MANYAVAR SHOWROOM","+919897477233","General Trade","PALTAN BAZAR","PALTAN BAZAR",MA
"SUBHASH DI HATTI","PALTAN BAZAR, DISPENSARY ROAD","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"SATISH PROV.STORE","KARGI, TARUN VIHAR - KEDARPURAM","+919758777387","General Trade","KARGI","KARGI",MA
"S MAHAWAR","KARGI, PATHRIBHAG CHOWK","+919997222478","General Trade","KARGI","KARGI",MA
"BRIJ PHARMA SALES","DHARAMPUR, ARAGHAR CHOWK","+910135267705","General Trade","RACE COURSE","RACE COURSE",MA
"JUBLI DEPT STORE","TAPOVAN ROAD, TAPOVAN ROAD","+919997420072","General Trade","RAIPUR","RAIPUR",MA
"DURGA DEPARTMENTAL STORE","JHANDA BAZAR","+917895645004","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"JAI BADRI MEDICAL","RAIPUR ROAD, NEAR ASHISH PATANJALI","+919837039019","General Trade","RAIPUR","RAIPUR",MA
"UPPAL MEDICAL","PREM NAGAR, PREM NAGAR CHOWK","+917500130000","General Trade","PREM NAGAR","PREM NAGAR",MA
"BHATIYA HOMEO HALL","PREM NAGAR, PREM NAGAR","+919760998568","General Trade","PREM NAGAR","PREM NAGAR",MA
"SHIVA MEDICAL","PREM NAGAR, PREM NAGAR","+919760619876","General Trade","PREM NAGAR","PREM NAGAR",MA
"SHIKHA COSMETIC","PREM NAGAR, PREM NAGAR CHOWK","+919528799699","General Trade","PREM NAGAR","PREM NAGAR",MA
"HIMALAYAN MEDICAL","PREM NAGAR, PREM NAGAR CHOWK","","General Trade","PREM NAGAR","PREM NAGAR",MA
"OM PRAKASH DINESH KUMAR- PANDITVARI","PANDITVARI","+919412954141","General Trade","PANDITVARI","PANDITVARI",MA
"SHRINGAR COSMETICS","KAULAGARH, NEAR KUMAR STORE KAULAGARH","+919997703540","General Trade","KAULAGARH","KAULAGARH",MA
"KAILASH STORE","DAKRA, NEARBY DD COLLEGE","+919193249049","General Trade","KAULAGARH","KAULAGARH",MA
"BABA MEDICAL","DAKRA, DAKRA","+918445553178","General Trade","KAULAGARH","KAULAGARH",MA
"KWALITY GALLERY","DAKRA, ALLAHABAD BANK","+917088336666","General Trade","KAULAGARH","KAULAGARH",MA
"THE BEAUTY CORNER","RACE COURSE, NEAR NIRANKARI BHAWAN","+919897255201","General Trade","RACE COURSE","RACE COURSE",MA
"PANWAR GEN STORE","RACE COURSE, DOBHI CHOWK","+918755066427","General Trade","RACE COURSE","RACE COURSE",MA
"SOMYA GIFT HOUSE","AJABPUR KALA, AJABPUR KALA","+919410151856","General Trade","RACE COURSE","RACE COURSE",MA
"SINGH MEDICAL","AJABPURKALA, NEAR SOMYA COSMETICS","+918192941288","General Trade","RACE COURSE","RACE COURSE",MA
