name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,team_id
"W TFC 100 ML","W TFC 100 ML","","86619","NIVEA","NIVEA",168.75,"100 ML",outOfStock,0,18,pcs,MA
"SOFT  50 ML","SOFT  50 ML","","89054","NIVEA","NIVEA",108.75,"50 ML",outOfStock,0,18,pcs,MA
"SOFT 300 ML","SOFT 300 ML","","89063","NIVEA","NIVEA",543.75,"300 ML",outOfStock,0,18,pcs,MA
"SOFT 200 ML","SOFT 200 ML","","89050","NIVEA","NIVEA",374.25,"200 ML",outOfStock,0,18,pcs,MA
"SOFT 100 ML","SOFT 100 ML","","89059","NIVEA","NIVEA",217.5,"100 ML",outOfStock,0,18,pcs,MA
"SMOOTH MILK NBL 200 ML","SMOOTH MILK NBL 200 ML","","99576","NIVEA","NIVEA",224.99,"200 ML",outOfStock,0,18,pcs,MA
"W SCRUB 150 ML","W SCRUB 150 ML","","86681","NIVEA","NIVEA",149.25,"150 ML",outOfStock,0,18,pcs,MA
"SG LEMON & OIL","SG LEMON & OIL","","81067","NIVEA","NIVEA",254.24,"250 ML",outOfStock,0,18,pcs,MA
"SG FRANGIPANI & OIL","SG FRANGIPANI & OIL","","80863","NIVEA","NIVEA",254.24,"250 ML",outOfStock,0,18,pcs,MA
"SG COOL KICK","SG COOL KICK","","","NIVEA","NIVEA",153.31,"250 ML",outOfStock,0,5,pcs,MA
"SG ACTIVE CLEAN","SG ACTIVE CLEAN","","","NIVEA","NIVEA",230.35,"250 ML",outOfStock,0,5,pcs,MA
"DEO PROTECT FEMALE","DEO PROTECT FEMALE","","85914","NIVEA","NIVEA",242.68,"150 ML",outOfStock,0,18,pcs,MA
"MEN DARK CREME  30 ML","MEN DARK CREME  30 ML","","83928","NIVEA","NIVEA",82.5,"30 ML",available,49,18,pcs,MA
"MEN CREAM 30 ML","MEN CREAM 30 ML","","83923","NIVEA","NIVEA",74.25,"30 ML",available,49,18,pcs,MA
"OIL CONTROL MFW 100 ML","OIL CONTROL MFW 100 ML","","88869","NIVEA","NIVEA",194.25,"100 ML",outOfStock,0,18,pcs,MA
"DARK SPOT MFW  50 ML","DARK SPOT MFW  50 ML","","88835","NIVEA","NIVEA",96.75,"50 ML",outOfStock,0,18,pcs,MA
"DARK SPOT MFW 100 ML","DARK SPOT MFW 100 ML","","88836","NIVEA","NIVEA",194.24,"100 ML",outOfStock,0,18,pcs,MA
"ALL IN 1 MFW  50 ML","ALL IN 1 MFW  50 ML","","81779","NIVEA","NIVEA",111.75,"50 ML",outOfStock,0,18,pcs,MA
"ALL IN 1 MFW 100 ML","ALL IN 1 MFW 100 ML","","81775","NIVEA","NIVEA",246.75,"100 ML",outOfStock,0,18,pcs,MA
"RO NATURAL","RO NATURAL","","82809","NIVEA","NIVEA",186.74,"50 ML",available,7,18,pcs,MA
"EXTRA WHITE NBL  75 ML","EXTRA WHITE NBL  75 ML","","88330","NIVEA","NIVEA",93.75,"75 ML",outOfStock,0,18,pcs,MA
"EXTRA WHITE NBL 400 ML","EXTRA WHITE NBL 400 ML","","89137","NIVEA","NIVEA",483.73,"400 ML",outOfStock,0,18,pcs,MA
"HYDRATION NBL  75 ML","HYDRATION NBL  75 ML","","80305","NIVEA","NIVEA",82.5,"75 ML",outOfStock,0,18,pcs,MA
"BLUE  60 ML","BLUE  60 ML","","80102","NIVEA","NIVEA",112.5,"60 ML",outOfStock,0,18,pcs,MA
"BLUE  30 ML","BLUE  30 ML","","80101","NIVEA","NIVEA",67.5,"30 ML",outOfStock,0,18,pcs,MA
